2024.03.02| Sberbank | 89.60 | 91.30 | 97.50 | 99.20 | 12.32 | 12.82 | 0.59 | 0.63
2024.02.28 | VTB | 88.90 | 90.50 | 96.70 | 98.40 | 12.10 | 12.60 | 0.57 | 0.61
2024.03.05 | AlfaBank | 90.10 | 91.80 | 98.00 | 99.70 | 12.50 | 13.00 | 0.61 | 0.65
2024.03.01 | Gazprombank | 89.40 | 91.10 | 97.30 | 99.00 | 12.25 | 12.75 | 0.58 | 0.63
2025.03.04 | Tinkoff | 89.80 | 91.50 | 97.70 | 99.40 | 12.45 | 12.95 | 0.61 | 0.65
2024.13.01 | Sberbank | 89.50 | 91.20 | 97.40 | 99.10 | 12.30 | 12.80 | 0.59 | 0.63
2024.03.03 | VTB | 90.00 | 89.50 | 97.90 | 97.10 | 12.40 | 12.10 | 0.62 | 0.60
2024.02.30 | AlfaBank | 89.70 | 91.40 | 97.60 | 99.30 | 12.40 | 12.90 | 0.60 | 0.64
2026.03.06 | Sberbank | 91.20 | 92.80 | 99.10 | 101.00 | 12.70 | 13.30 | 0.63 | 0.67
2024.03.07 | VTB | 89.30 | 91.00 | 97.10 | 98.90 | 12.20 | 12.70 | 0.58 | 0.62
2024.01.15 | Sberbank | 87.20 | 88.90 | 95.10 | 96.80 | 11.80 | 12.20 | 0.54 | 0.57
2024.03.03 |  | 89.10 | 90.80 | 97.00 | 98.70 | 12.15 | 12.65 | 0.58 | 0.62
2024.03.08 | AlfaBank | 92.00 | 94.50 | 101.00 | 103.50 | 13.10 | 13.80 | 0.66 | 0.71
2024.03.01 | Tinkoff | 89.80 | 91.50 | 97.70 | 99.40 | 12.45 | 12.95 | 0.61 | 0.65
2023.12.31 | Gazprombank | 85.40 | 86.90 | 93.20 | 94.70 | 11.30 | 11.80 | 0.50 | 0.54
2024.03.02 | VTB | -89.40 | 91.10 | 97.20 | 99.00 | 12.22 | 12.72 | 0.58 | 0.62
2024.03.04 | AlfaBank | 89.80 | 91.50 | 97.60 | 99.30 | 12.40 | 12.90 | 0.60 | 0.64
2024.03.10 | Sberbank | 500 | 505 | 600 | 610 | 50 | 52 | 2.5 | 2.8
2024.03.05 | Tinkoff | 89.70 | 91.30 | 97.60 | 99.10 | 12.38 | 12.88 | 0.60 | 0.64
2024.03.09 | VTB | 89.40 | ninety | 97.30 | 99.00 | 12.25 | 12.75 | 0.58 | 0.63
2024.03.06 | AlfaBank | 90.20 | 91.90 | 98.10 | 99.80 | 12.55 | 13.05 | 0.62 | 0.66
2024/03/03 | Sberbank | 89.60 | 91.20 | 97.50 | 99.00 | 12.35 | 12.85 | 0.59 | 0.63
2024.03.11 | VTB | 89.30 | 90.90 | 97.10 | 98.60 | 12.20 | 12.70 | 0.58 | 0.61
2024.03.07 | Gazprombank | 89.50 | 91.10 | 97.40 | 98.90 | 12.30 | 12.80 | 0.59 | 0.63
2024.03.12 | Tinkoff | 89.90 | 91.60 | 97.80 | 99.50 | 12.46 | 12.96 | 0.61 | 0.65
2024.03.08 | AlfaBank | 91.00 | 90.00 | 99.00 | 98.00 | 12.70 | 12.20 | 0.64 | 0.60
2024.03.02 | RandomFinance | 88.80 | 90.40 | 96.50 | 98.10 | 12.00 | 12.50 | 0.56 | 0.60

2024.02.29 | LeapBank | 88.50 | 90.10 | 96.20 | 97.80 | 12.05 | 12.55 | 0.55 | 0.59
2024.03.01 | TinyBank | 89.40 | 91.00 | 97.20 | 98.80 | 12.20 | 12.70 | 0.58 | 0.62
2024.03.02 | BestCaseBank | 80.00 | 85.00 | 90.00 | 95.00 | 10.00 | 11.00 | 0.40 | 0.50
2024.03.02 | WorstCaseBank | 100.00 | 105.00 | 110.00 | 115.00 | 15.00 | 16.00 | 0.80 | 0.90
2024.03.02 | BadParseBank | abc | def | ghi | jkl | mno | pqr | stu | vwx
